date;type;saros;magnitude;regions;sub_regions;duration_sec
2021-06-10 10:43:06;Solar - Annular;147;0.943;Northern North America,Europe,Asia;Northern Canada,Greenland,Russia;231
2021-12-04 07:34:38;Solar - Total;152;1.037;Antarctica,South Africa,Southern Atlantic;Antarctica;114
2022-04-30 20:42:36;Solar - Partial;119;0.64;Southeastern  Pacific,Southern South America;;0
2022-10-25 11:01:19;Solar - Partial;124;0.862;Europe,Northeastern Africa,Mid East,Western Asia;;0
2023-04-20 04:17:55;Solar - Hybrid;129;1.013;Southeastern  Asia,East Indies,Australia,Philippines,New Zealand;Indonesia,Australia,Papua New Guinea;76
2023-10-14 18:00:40;Solar - Annular;134;0.952;North America,Central America,South America;Western United States,Central America,Colombia,Brazil;317
2024-04-08 18:18:29;Solar - Total;139;1.057;North America,Central America;Mexico,Central United States,Eastern Canada;268
2024-10-02 18:46:13;Solar - Annular;144;0.933;Pacific,Southern South America;Southern Chile,Southern Argentina;445
2025-03-29 10:48:36;Solar - Partial;149;0.938;Northwestern Africa,Europe,Northern Russia;;0
2025-09-21 19:43:04;Solar - Partial;154;0.855;Southern Pacific,New Zealand,Antarctica;;0
2026-02-17 12:13:05;Solar - Annular;121;0.963;Southern Argentina & Chile,Southern Africa,Antarctica;Antarctica;140
2026-08-12 17:47:05;Solar - Total;126;1.039;Northern North America,Western Africa,Europe;Arctic,Greenland,Iceland,Spain;138
2027-02-06 16:00:47;Solar - Annular;131;0.928;South America,Antarctica,Western & Southern Africa;Chile,Argentina,Atlantic;471
2027-08-02 10:07:49;Solar - Total;136;1.079;Africa,Europe,Mid East,Western & Southern Asia;Morocco,Spain,Algeria,Libya,Egypt,Saudi Arabia,Yemen,Somalia;383
2028-01-26 15:08:58;Solar - Annular;141;0.921;Eastern North America,Central & South America,Western Europe,Northwestern Africa;Ecuador,Peru,Brazil,Suriname,Spain,Portugal;627
2028-07-22 02:56:39;Solar - Total;146;1.056;Southeastern  Asia,East Indies,Australia,New Zealand;Australia,New Zealand;310
2029-01-14 17:13:47;Solar - Partial;151;0.871;North America,Central America;;0
2029-06-12 04:06:13;Solar - Partial;118;0.458;Arctic,Scandanavia,Alaska,Northern Asia,Northern Canada;;0
2029-07-11 15:37:18;Solar - Partial;156;0.23;Southern Chile,Southern Argentina;;0
2029-12-05 15:03:57;Solar - Partial;123;0.891;Southern Argentina,Southern Chile,Antarctica;;0
2030-06-01 06:29:13;Solar - Annular;128;0.944;Europe,Northern Africa,Mid East,Asia,Arctic,Alaska;Algeria,Tunisia,Greece,Turkey,Russia,Northern China,Japan;321
2030-11-25 06:51:37;Solar - Total;133;1.047;Southern Africa,Southern Indian Ocean,East Indies,Australia,Antarctica;Botswana,South Africa,Australia;224
2031-05-21 07:16:04;Solar - Annular;138;0.959;Africa,Southern Asia,East Indies,Australia;Angola,Congo,Zambia,Tanzania,Southern  India,Malaysia,Indonesia;326
2031-11-14 21:07:30;Solar - Hybrid;143;1.011;Pacific,Southern United States,Central America,Northwestern South America;Pacific,Panama;68
2032-05-09 13:26:42;Solar - Annular;148;0.996;Southern South America,Southern Africa;Southern Atlantic;22
2032-11-03 05:34:12;Solar - Partial;153;0.855;Asia;;0
2033-03-30 18:02:35;Solar - Total;120;1.046;North America;Eastern Russia,Alaska;157
2033-09-23 13:54:31;Solar - Partial;125;0.689;Southern South America,Antarctica;;0
2034-03-20 10:18:45;Solar - Total;130;1.046;Africa,Europe,Western Asia;Nigeria,Cameroon,Chad,Sudan,Egypt,Saudi Arabia,Iran,Afghanistan,Pakistan,India,China;249
2034-09-12 16:19:27;Solar - Annular;135;0.974;Central America,South America;Chile,Bolivia,Argentina,Paraguay,Brazil;178
2035-03-09 23:05:53;Solar - Annular;140;0.992;Australia,New Zealand,Southern Pacific,Mexico,Antarctica;New Zealand,Pacific;48
